Service,Category,Region,Base,Location,Month,Year,Amount
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,October,2019,31210.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,November,2019,19736.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,December,2019,17001.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,January,2020,55158.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,February,2020,39974.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,March,2020,39052.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,April,2020,0.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,May,2020,0.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,June,2020,0.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,July,2020,19909.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,August,2020,15810.0
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,September,2020,11611.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,October,2019,6433.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,November,2019,7990.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,December,2019,3826.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,January,2020,13029.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,February,2020,8713.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,March,2020,0.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,April,2020,18898.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,May,2020,0.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,June,2020,0.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,July,2020,0.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,August,2020,0.0
Navy,Revenue,Europe,Navy Greece - Souda Bay,Shipmates,September,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,October,2019,40765.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,November,2019,-418.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,December,2019,29517.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,January,2020,24224.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,February,2020,38762.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,March,2020,27103.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,April,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,May,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,June,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,July,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,August,2020,0.0
Navy,Revenue,Europe,Navy Naples,Capo Olde Town Slots,September,2020,33063.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,October,2019,49807.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,November,2019,21961.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,December,2019,58348.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,January,2020,77943.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,February,2020,66399.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,March,2020,49325.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,April,2020,0.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,May,2020,0.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,June,2020,0.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,July,2020,0.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,August,2020,8470.0
Navy,Revenue,Europe,Navy Naples,Naples Bowl,September,2020,63385.0
Navy,Revenue,Europe,Navy Rota,BOQ,October,2019,9907.0
Navy,Revenue,Europe,Navy Rota,BOQ,November,2019,10093.0
Navy,Revenue,Europe,Navy Rota,BOQ,December,2019,7860.0
Navy,Revenue,Europe,Navy Rota,BOQ,January,2020,10422.0
Navy,Revenue,Europe,Navy Rota,BOQ,February,2020,45379.0
Navy,Revenue,Europe,Navy Rota,BOQ,March,2020,8947.0
Navy,Revenue,Europe,Navy Rota,BOQ,April,2020,0.0
Navy,Revenue,Europe,Navy Rota,BOQ,May,2020,0.0
Navy,Revenue,Europe,Navy Rota,BOQ,June,2020,1213.0
Navy,Revenue,Europe,Navy Rota,BOQ,July,2020,0.0
Navy,Revenue,Europe,Navy Rota,BOQ,August,2020,13087.0
Navy,Revenue,Europe,Navy Rota,BOQ,September,2020,8326.0
Navy,Revenue,Europe,Navy Rota,La Plaza,October,2019,92577.0
Navy,Revenue,Europe,Navy Rota,La Plaza,November,2019,35822.0
Navy,Revenue,Europe,Navy Rota,La Plaza,December,2019,47547.0
