Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Stuttgart,Patch Community Club,September,2020,103890,48.775418,9.181759
Army,Revenue,Europe,Vicenza,Arena Bowl,October,2019,54121,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,November,2019,6140,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,December,2019,99756,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,January,2020,56126,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,February,2020,71143,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,March,2020,44408,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,April,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,May,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,June,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,July,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,August,2020,39849,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Arena Bowl,September,2020,44601,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,October,2019,11786,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,November,2019,625,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,December,2019,21336,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,January,2020,11245,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,February,2020,14685,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,March,2020,15079,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,April,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,May,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,June,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,July,2020,0,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,August,2020,1379,45.545479,11.535421
Army,Revenue,Europe,Vicenza,Del Din C/C,September,2020,19819,45.545479,11.535421
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,October,2019,189052,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,November,2019,103821,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,December,2019,189402,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,January,2020,70581,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,February,2020,123794,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,March,2020,131448,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,April,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,May,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,June,2020,41007,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,July,2020,61171,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,August,2020,71910,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Vault Club Casino,September,2020,105439,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,October,2019,83840,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,November,2019,47376,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,December,2019,53534,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,January,2020,31509,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,February,2020,69285,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,March,2020,50816,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,April,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,May,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,June,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,July,2020,67501,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,August,2020,37552,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Wiesbaden Ent Center,September,2020,98784,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,October,2019,23582,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,November,2019,13415,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,December,2019,27983,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,January,2020,28890,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,February,2020,22186,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,March,2020,13999,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,April,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,May,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,June,2020,0,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,July,2020,4121,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,August,2020,5075,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Kastel Club,September,2020,7049,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,October,2019,31210,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,November,2019,19736,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,December,2019,17001,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,January,2020,55158,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,February,2020,39974,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,March,2020,39052,50.05195,8.31676
Army,Revenue,Europe,Wiesbaden,Ace's Game Room,April,2020,0,50.05195,8.31676
